Date,Prev Close,Open,High,Low,Last,Close,Turnover
20060908,239.45,243,243.4,235,235.05,236.55,6.05518E+11
20060911,236.55,240,241,233,235.95,233.95,6.92696E+11
20060912,233.95,233.2,236.4,229,230,229.95,2.8974E+11
20060913,229.95,232,241.9,227,232.7,238.25,1.57897E+12
20060914,238.25,238.9,242,234,238.1,239.45,1.43383E+12
20060915,239.45,249.3,249.3,234,237.25,237.55,3.54166E+11
20060918,237.55,239.3,242,233.15,237.6,236.55,1.97326E+11
20060919,236.55,234.2,246.8,234.2,245.5,244.2,1.22098E+12
20060920,244.2,237,249,237,247,246.45,3.67759E+11
20060921,246.45,247.95,250,243.1,244,244.7,2.41201E+11
20060922,244.7,241.25,245.8,241.25,243.6,244.35,76948195000
20060925,244.35,245,252,242.15,244,244,3.72231E+11
20060926,244,247.5,248,240.9,242,241.9,1.14146E+11
20060927,241.9,240,290.3,239.15,290.3,290.3,4.95227E+12
20060928,290.3,294,337.4,293,308,309.8,2.47483E+13
20060929,309.8,314.1,314.1,292.25,295,296.85,4.82144E+12
20061003,296.85,297.95,316.2,295,306,306.55,4.37128E+12
20061004,306.55,305.15,337.25,305.15,337.25,337.25,1.30277E+13
20061005,337.25,342.3,369.95,342,353,355.35,2.22358E+13
20061006,355.35,357.8,366.8,355,358.5,357.5,1.10875E+13
